Rasio Peserta Didik terhadap Pendidik SD berdasarkan Wilayah, Tahun Ajaran 2022/2023 ;;;;
;;;;
No;Kode Kemdagri;Kode BPS;Provinsi;Rasio
1;11;11;Aceh;11
2;12;12;Sumatera Utara;15
3;13;13;Sumatera Barat;14
4;14;14;Riau;16
5;15;15;Jambi;15
6;16;16;Sumatera Selatan;16
7;17;17;Bengkulu;13
8;18;18;Lampung;15
9;19;19;Kepulauan Bangka Belitung;18
10;21;21;Kepulauan Riau;17
11;31;31;D.K.I. Jakarta;20
12;32;32;Jawa Barat;23
13;33;33;Jawa Tengah;17
14;34;34;D.I. Yogyakarta;15
15;35;35;Jawa Timur;15
16;36;36;Banten;23
17;51;51;Bali;16
18;52;52;Nusa Tenggara Barat;13
19;53;53;Nusa Tenggara Timur;14
20;61;61;Kalimantan Barat;16
21;62;62;Kalimantan Tengah;12
22;63;63;Kalimantan Selatan;13
23;64;64;Kalimantan Timur;17
24;65;65;Kalimantan Utara;14
25;71;71;Sulawesi Utara;13
26;72;72;Sulawesi Tengah;13
27;73;73;Sulawesi Selatan;14
28;74;74;Sulawesi Tenggara;13
29;75;75;Gorontalo;14
30;76;76;Sulawesi Barat;12
31;81;81;Maluku;13
32;82;82;Maluku Utara;13
33;91;94;Papua;27
34;92;91;Papua Barat;15
35;;;Luar Negeri;33
;;;Indonesia;16
