Rasio Peserta Didik terhadap Pendidik SMP berdasarkan Wilayah, Tahun Ajaran 2022/2023 ;;;;
;;;;
No;Kode Kemdagri;Kode BPS;Provinsi;Rasio
1;11;11;Aceh;9
2;12;12;Sumatera Utara;15
3;13;13;Sumatera Barat;12
4;14;14;Riau;13
5;15;15;Jambi;11
6;16;16;Sumatera Selatan;14
7;17;17;Bengkulu;11
8;18;18;Lampung;14
9;19;19;Kepulauan Bangka Belitung;17
10;21;21;Kepulauan Riau;16
11;31;31;D.K.I. Jakarta;19
12;32;32;Jawa Barat;20
13;33;33;Jawa Tengah;18
14;34;34;D.I. Yogyakarta;15
15;35;35;Jawa Timur;16
16;36;36;Banten;19
17;51;51;Bali;17
18;52;52;Nusa Tenggara Barat;8
19;53;53;Nusa Tenggara Timur;11
20;61;61;Kalimantan Barat;15
21;62;62;Kalimantan Tengah;11
22;63;63;Kalimantan Selatan;13
23;64;64;Kalimantan Timur;16
24;65;65;Kalimantan Utara;12
25;71;71;Sulawesi Utara;12
26;72;72;Sulawesi Tengah;11
27;73;73;Sulawesi Selatan;12
28;74;74;Sulawesi Tenggara;9
29;75;75;Gorontalo;11
30;76;76;Sulawesi Barat;10
31;81;81;Maluku;9
32;82;82;Maluku Utara;10
33;91;94;Papua;16
34;92;91;Papua Barat;11
35;;;Luar Negeri;24
;;;Indonesia;15
